cluster_name,total_mentions,distinct_calls,confidence,safety_nonsafety_bleed,has_deployment_blocker,evidence_source,member_labels,evidence_sample
perimeter fence intrusion security monitoring,1,1,MEDIUM,False,False,customer,perimeter fence intrusion security monitoring,"Perry Everett: plus, I mean, maybe that fence that, that's Australian Border Force over that fence, so it's very unlikely somebody's going to come over that fence, if they're coming over that fence, they've probably got Border Force people chasing them, but I'd have to go back over there."
warehouse vehicle safety no stop and pit distance monitoring,1,1,MEDIUM,False,False,customer,warehouse vehicle safety no stop and pit distance monitoring,"Casey Carlisle: There are some categories that has not been detected yet, and I'm sure there are incidents in that site, for example, that no stop at the end of the aisle. | Casey Carlisle: So if, if we see the active region, it should be detecting that he knows that no stop of the intersection or t"
confined space risk during oven cleaning,1,1,MEDIUM,False,False,customer,confined space risk during oven cleaning,"Drew Sullivan: Possibly an increased risk of confined spaces. | Drew Sullivan: In the other plants, we are not, and we do that with cleaning our ovens. | Drew Sullivan: If we go in-house, then we definitely have an increased risk of a hazard of confined space entry."
open door duration tracking for turn time management,1,1,MEDIUM,False,False,mixed,open door duration tracking for turn time management,"Quinn Madden: it's also possible to turn on open door duration so that if you knew your turnaround time was, for example, no more than, say, under an hour, you wanted the truck to turn around in, you could start the open door duration so you'd have some line of sight to when it's there longer. | Ope"
fire related issue alerts,1,1,MEDIUM,False,False,customer,fire related issue alerts,"Tristan Locke: We've had a fire-related event, and we want to know whether the system could recognize that type of signal. | Tristan Locke: Is there a way to tie it into the system so we get a notification when that kind of event occurs? | Tristan Locke: it sends alerts for fire prevention and safet"
exclude planned events from analytics to avoid skewed metrics,1,1,MEDIUM,False,False,mixed,exclude planned events from analytics to avoid skewed metrics,"Nell Alden: And I will say if we do get a spike right now, which we shouldn't, but we're doing our fire drills this week. | Kendall Keller: That's something we can hide. | Kendall Keller: Like if you want to select a particular time frame, we can actually remove that information because it's not con"
distributed area ownership via boards and tier process,1,1,MEDIUM,False,False,mixed,distributed area ownership via boards and tier process,"Remy Turner: we have to create almost like area champions in a way where they have their own dashboard of those areas that they're managing | Parker Ramsey: each of those areas have owners, right? So we could tie that into what you're saying, right? And they could be a daily topic, a weekly topic..."
forklift pallet jack and pedestrian safety in back rooms,1,1,MEDIUM,False,False,mixed,forklift pallet jack and pedestrian safety in back rooms,"Dakota Kendrick: We do like vehicle safety, so forklift safety. | Unknown: we can do stop at the intersections, forklift and remissives, and things of that nature. | Unknown: Back rooms, we have pallet jacks, we have forklifts running around. So definitely want it there."
forklift pre use inspection compliance,1,1,MEDIUM,False,False,customer,forklift pre use inspection compliance,"Ryan Archer: Doing the forklift inspection or taking the time, but I don't know how that is, how we can do that."
address federal safety bureau regulatory compliance in safety programs,1,1,MEDIUM,False,False,customer,address federal safety bureau regulatory compliance in safety programs,"Cleo Corbett: And if you're able to layer in anything from a Federal Safety Bureau compliance, Federal Safety Bureau compliance standpoint, you know, regulatory compliance, like, there's so many ambiguities right now, know, with, you | Cleo Corbett: So are the feds going to enforce that? | Cleo Corb"
reduce implementation training burden and false positives,1,1,MEDIUM,False,False,customer,reduce implementation training burden and false positives,"Ashton Beckett: One thing that set that one apart from the others, but if you look at it, it's not very simple. | Ashton Beckett: It's a little bit more difficult to use. | Ashton Beckett: There's more of a learning curve. | Ashton Beckett: There might be a little bit more time spent on the implemen"
use of voxel boards for simple data visualization and team communication,1,1,MEDIUM,False,False,customer,use of voxel boards for simple data visualization and team communication,"Denver Ellery: I know they have been using it and they like it more than we have another way to look at data as far as our observations through, I forgot the name of the company, but there's another company we use and all the information there is very very confusing. | Denver Ellery: So they compare"
customer service area staffing monitoring,1,1,MEDIUM,False,False,customer,customer service area staffing monitoring,"Unknown: you can also make sure that people are where you want them to be. Like, for instance, if you always wanted to make sure that the customer service area always had somebody there, you know, but no more than a few minutes where maybe it's unattended"
link incident logs to camera footage for leader review,1,1,MEDIUM,False,False,customer,link incident logs to camera footage for leader review,"Jamie Valentine: being able to, oh, we have this list of incidents, and being able to quickly kind of tie all of those a few camera feeds, right? Like, so look at all of our incidents and then being able to have that digest period of, you know, here's all the footage of those incidents based on the "
change management impact tracking and leadership storytelling,1,1,MEDIUM,False,False,mixed,change management impact tracking and leadership storytelling,"Gray Ashford: It'd be really nice to have some data around, like, hey, we identified this issue of Zone Red. | Gray Ashford: Here are the steps we took. | Gray Ashford: Here's what the platform told us. | Terry Drake: So actually implementing it, I think, is the next step, and I'll get with the stee"
camera based red zone to replace light curtains,1,1,MEDIUM,False,False,customer,camera based red zone to replace light curtains,"Drew Sullivan: We're even looking at what they call red zone type application, which doesn't, it would be replacing light curtains, but that's not something we're going to, hang on."
ppe compliance in kitchens deli meat gloves hairnets cut resistant mesh gloves,1,1,MEDIUM,False,False,customer,ppe compliance in kitchens deli meat gloves hairnets cut resistant mesh gloves,"Unknown: In your kitchen areas or in the deli, we can do PPE. So if you would be wearing gloves or hairnets, | Unknown: service deli, whenever team members are using a knife, cut-resistant gloves should be on, cleaning or handling slicers, cut-resistant gloves should be on, produce department right "
pit pedestrian interaction and near miss detection staging warehouse tote dumping,1,1,MEDIUM,False,False,mixed,pit pedestrian interaction and near miss detection staging warehouse tote dumping,"Arielle Sterling: So this is a drive aisle for pit. | Unknown: So to Cory's point, this is the area where a lot of near misses have been happening, | Riley Winslow: I would assume you're using powered industrial trucks to move the totes around. | Arielle Sterling: Yeah, so forklift will load the bin"
attendance visibility and office usage analytics,1,1,MEDIUM,False,False,mixed,attendance visibility and office usage analytics,"Elliot Sutton: Like for attendance purposes, do you think leadership needs to have a better understanding of how people are coming into the office? | Bailey Langley: I don't think so, but that is nice. | Bailey Langley: So I'm assuming, I'm assuming a lot of the hiring, I'm sorry, the managers would"
product and infrastructure damage detection collisions with racks product,1,1,MEDIUM,False,False,mixed,product and infrastructure damage detection collisions with racks product,"Bellamy Warren: There's also, on this camera feed, there was a pit-to-pit hit. Well, a pallet-to-pit still. Still. A unit-to-unit hit, and it didn't trigger, actually, either. | Gray Ashford: if a power-industrial truck were to strike a rack, or, in this case, like, product or a pallet, that's somet"
integration with incident management and reporting systems,1,1,MEDIUM,False,False,customer,integration with incident management and reporting systems,"Alden Carver: We use an external system to manage incident workflows. | Alden Carver: And then that system feeds our reporting layer. | Alden Carver: Can you work with that external system to manage this automatically? | Alden Carver: So alert, it then automatically create an event in our incident m"
behavior based safety coaching pre shift training and gamification using clips,1,1,MEDIUM,False,False,mixed,behavior based safety coaching pre shift training and gamification using clips,"Hollis Sawyer: whether that's through training of the workforce and different elements that we work with our customers and we'll work with you around behavior-based safety programs, whether that's moving into the specific risks and areas that we can surface that data, whether that's gamification so "
conveyor misuse working at heights monitoring,1,1,MEDIUM,False,False,mixed,conveyor misuse working at heights monitoring,"Riley Winslow: if you like wanted to do something, I don't know, like working at heights where people getting up on top of conveyors, you'd be better, it'd be better soon. | Riley Winslow: You'd be shocked how people cross conveyors, even when there's a pretty obvious, safe, and rather convenient pa"
second shift visibility eye in the sky,1,1,MEDIUM,False,False,mixed,second shift visibility eye in the sky,"Adrian Morrow: And probably the main reason why we were interested in technology is it's kind of difficult to have eyes all day at all times. We handle two different shifts | Taylor Nash: One's like looking at Voxel to get the eye in the sky, the areas that you don't have visibility, maybe specifica"
training and toolbox talks using bookmarked clips,1,1,MEDIUM,False,False,customer,training and toolbox talks using bookmarked clips,Unknown: A lot of our customers will use this in their toolbox talks or even trainings. | Unknown: They'll bookmark specific clips that will allow them to just pull them up quickly and coach them through trainings.
door asset damage prevention via intersection monitoring,1,1,MEDIUM,False,False,customer,door asset damage prevention via intersection monitoring,"Unknown: They had to replace the door three different times, cost them up to REDACTED. | Unknown: they wanted to have a... No Stop at Intersection at this door."
post intervention markers and trend analysis for roi,1,1,MEDIUM,False,False,mixed,post intervention markers and trend analysis for roi,"Tristan Locke: I feel like identifying when we had one of those marker points, where, you know, up until that point, we had a thousand, you know, issues, and then Trey, we created a corrective action, we had a marker point, and then from then on, it's been a non-event. | Tristan Locke: We can go bac"
prompt alerts for excessive speeding with configurable threshold,1,1,MEDIUM,False,False,mixed,prompt alerts for excessive speeding with configurable threshold,"Evan Rivers: I was going to ask if there was a way to set up a notification when someone exceeds a higher speed threshold so we can address it as it is happening. | Shawn Abbott: That should be possible through existing notification options, and we can circle back with the team to see if we can set "
plan for new thin hi viz ppe and adjust detection accordingly,1,1,MEDIUM,False,False,mixed,plan for new thin hi viz ppe and adjust detection accordingly,"Nell Alden: I think Pat was involved about a possible new PPE garment with kind of a thinner stripe of HiViz. | Nell Alden: And so if we did end up going to that, we would probably remove HiViz off of some of it because I don't believe Voxel can fully capture it. | Nell Alden: And mean, it is maybe "
paid pilot to validate voxel with an existing camera environment,1,1,MEDIUM,False,False,mixed,paid pilot to validate voxel with an existing camera environment,"Kai Fletcher: We could even do some sort of pilot program because our operations team said, let's just move forward and we'll pilot in one location. IT says, that ain't going to happen because I need to verify everything's going to work before I sign off on to it | Alex Carver: It sounds like the cu"
camera enhancements for safety oversight voxel like,1,1,MEDIUM,False,False,customer,camera enhancements for safety oversight voxel like,Unknown: I'd been on hold for some sort of camera enhancements similar to what you – exactly to what you guys are doing because I've seen your product and I like it. | Unknown: There would be a lot of benefit to having more oversight.
pilot kpi tracking and weekly reviews,1,1,MEDIUM,False,False,mixed,pilot kpi tracking and weekly reviews,"Unknown: what are the measures of success? I would love for you to help me build that. How do we track that on a certain frequency? | Arielle Sterling: How does this compare to other organizations? And helping me find the wins in the data would be helpful. | Indigo Vaughn: And typically, probably a "
noise reduction via selective use case scoping,1,1,MEDIUM,False,False,mixed,noise reduction via selective use case scoping,"Blake Finch: And so my concern is that I start setting up all these cameras all over the place, then I get all this pinging and activity, and it's, how do you sort? What you need to go work on and prioritize it and all that little of stuff. | Hollis Sawyer: we have customers that do this. Kendall an"
vehicle pedestrian proximity man machine interface alerts,1,1,MEDIUM,False,False,customer,vehicle pedestrian proximity man machine interface alerts,"Brennan Walker: Man-machine interface, the equipment and the people inside. | Brennan Walker: The equipment, when they move, they don't see them, and they kill them. | Brennan Walker: It detect whatever person that comes in like two meters or something from the equipment, and accordingly it will det"
pilot voxel on an existing fixed camera area,1,1,MEDIUM,False,False,mixed,pilot voxel on an existing fixed camera area,"Dakota Kendrick: there are a number of cameras in that area already. | Dakota Kendrick: That's probably going to be the easiest from an integration standpoint because you have existing cameras there and the supporting infrastructure is already in place. | Lane Donovan: Yeah, we have what we need the"
data export api integration for custom analytics,1,1,MEDIUM,False,False,customer,data export api integration for custom analytics,"Jamie Valentine: Are you – do you guys have functionality as far as setting up APIs with us for pulling, like, raw data if we want to spin it however we like? Or is it pretty much you guys grab it and put it on the platform when we're limited to? The reporting that's currently available, what you're"
conveyor congestion pile up detection to prevent falling objects,1,1,MEDIUM,False,False,customer,conveyor congestion pile up detection to prevent falling objects,"Operations Conference Room 2: Is there anything where you guys can see where boxes are starting to back up and build a, like, start to build up in a certain line? | Operations Conference Room 2: it then boxed up, and then it pushed over a a moderate load box off of a probably a long distance in the "
reporting and notifications,1,1,MEDIUM,False,False,customer,reporting and notifications,"Operations Conference Room 2: This reporting approach is intended to let you subscribe to the data you want and receive automated updates, which could reduce how often you need to go into the platform directly. | Operations Conference Room 2: There should be a way to receive notifications through th"
ppe compliance and restricted area controls,1,1,MEDIUM,False,False,mixed,ppe compliance and restricted area controls,"Drew Emery: Maybe there is a welding area that, you know, if you're not wearing the proper PPE, people can't be in that area. | Arden Rutherford: the ergonomics, PPE, vehicle safety, and area, yeah, spills, yeah, that's our environmental, yeah, all that looks good."
cross facility summary view for benchmarking,1,1,MEDIUM,False,False,customer,cross facility summary view for benchmarking,"Operations Conference Room 2: So, this is a sample site view. In a multi-site setup, you can switch between locations from a single summary view. | Operations Conference Room 2: we're going to highlight the trends over the last about a month by facility, right? | Operations Conference Room 2: now se"
use voxel video for safety coaching and union collaboration,1,1,MEDIUM,False,False,customer,use voxel video for safety coaching and union collaboration,"Robin Oakley: I have quarterly roundtables, and I take snippets of the video from Voxel, show it to the teams. | Robin Oakley: You know, I have my mill managers present with, you know, the top three intriguing things or things that they caught either on Voxel or on other cameras that we've pulled. |"
role based boards and camera access for supervisors,1,1,MEDIUM,False,False,mixed,role based boards and camera access for supervisors,"Nico Blaine: Are we able to assign specific cameras to those individuals? | Alex Carver: Yes, you guys can. So we can do that through boards. | Alex Carver: So the way we'll set it up is this supervisor needs these a few cameras, all use cases, whatever you guys want to name it, we'll name it. | Gal"
quarterly shareholder reporting,1,1,MEDIUM,False,False,mixed,quarterly shareholder reporting,"Hayden Easton: I to say thank you for getting me that report for my shareholders. | Hayden Easton: Could I get it to you the week of the 15th? | Kendall Keller: March 15th, get that Q4 report to you."
obstructed view driving detection,1,1,MEDIUM,False,False,mixed,obstructed view driving detection,"Alden Carver: And then a lot of times, you know, driving forward with an obstructed view, that was another one ProTex struggled with. | Alden Carver: we have a recent incident that involved someone driving forward with an obstructed view. | Dakota Kendrick: To your point, obstructed view. | Dakota K"
re scope cameras zones to maintain accurate safety detections and manageable incident volume,1,1,MEDIUM,False,False,mixed,re scope cameras zones to maintain accurate safety detections and manageable incident volume,"Vale Mercer: We re-scoped, got the total daily incidents down. | Vale Mercer: So, I'm able to actually look through everything and not just be overwhelmed with what I'm looking at over and over again. | Eden Quill: If you have cameras that have moved or you have just a spike in trends, it could be a"
hard hat ppe compliance at maintenance propane station,1,1,MEDIUM,False,False,mixed,hard hat ppe compliance at maintenance propane station,"Dylan Tatum: Actually, that will be another good place for a no hard hat because we have a lot of vendors and delivery drivers come through there and if they're not wearing their hard hat, I need to know that as well. | Eden Quill: So I will add hard hat to that one whenever I pre-scope it."
timely corrective actions and due dates for high severity safety events,1,1,MEDIUM,False,False,mixed,timely corrective actions and due dates for high severity safety events,"Parker Donovan: Now we have actions where I'll give you a time frame that you have till a week from today to finish it. | Parker Donovan: I think that's effective, but at least we can start with, hey, your due date's X. | Brooks Sutton: our SOP for the highs are within several hours. | Brooks Sutton"
uncover unknown safety risks across shifts around the clock,1,1,MEDIUM,False,False,customer,uncover unknown safety risks across shifts around the clock,"Arielle Sterling: So our goal is to know what we don't know today. | Arielle Sterling: what is happening at 4 a.m.. at the plants when Courtney is asleep, right?"
foremen owned safety notifications with tuned thresholds,1,1,MEDIUM,False,False,customer,foremen owned safety notifications with tuned thresholds,Marin Madden: We want them getting notifications so they can address stuff right then and there. | Marin Madden: So we want them managing that. | Marin Madden: we want to set parameters for alerts at fairly high levels to start out. | Marin Madden: So they are not getting an overwhelming volume of m
around the clock monitoring with alerts for near misses,1,1,MEDIUM,False,False,mixed,around the clock monitoring with alerts for near misses,"Drew Sullivan: What we're not doing and what we see the benefit for this is that I... | Drew Sullivan: The whole time we're working. | Drew Sullivan: So the other software, I'm sure you guys are the same, it sends pings to cell phones or PCs and to the people we identify that needs them to react qui"
staff efficiency and mobile guidance,1,1,MEDIUM,False,False,customer,staff efficiency and mobile guidance,"Unknown: Voxel's mobile-friendly as well. So, you guys, a lot of our customers, Voxel kind of tells them where to go. | Unknown: our end users probably at most spending 15 to tens of minutes per day within the platform."
incident severity scoring and prioritization,1,1,MEDIUM,False,False,mixed,incident severity scoring and prioritization,"Payton Granger: Is there a way to kind of assign numbers to this, or is there, is that fraught with danger, severity? | Indigo Vaughn: There's stuff that we want to classify the severity that might, you know, distinguish, you know, your reaction or what needs to be taken in a course of action."
confined space entry and lone worker detection,1,1,MEDIUM,False,False,customer,confined space entry and lone worker detection,"Brennan Walker: we can go for the confined space if there are people there, one guy alone entering a confined space, fire, PPEs."
near miss reporting and shareable analytics,1,1,MEDIUM,False,False,mixed,near miss reporting and shareable analytics,"Indigo Vaughn: Near miss and hazard detection. | Wyatt Quincy: So which means whatever near miss is been recorded by the camera. | Wyatt Quincy: They'll have a report generated by the system. | Indigo Vaughn: So you can, again, you can export the share and you can edit this."
re scope cameras zones to manage alert volume and reduce false positives,1,1,MEDIUM,False,False,mixed,re scope cameras zones to manage alert volume and reduce false positives,"Vale Mercer: We re-scoped, got the total daily incidents down. | Eden Quill: If you have cameras that have moved or you have just a spike in trends, it could be a potential that the camera has moved. | Eden Quill: And now we need to re-scope."
open door duration tracking tied to ergonomics pressure during live unloads,1,1,MEDIUM,False,False,mixed,open door duration tracking tied to ergonomics pressure during live unloads,"Quinn Madden: it's also possible to turn on open door duration so that if you knew your turnaround time was, for example, no more than, say, under an hour, you wanted the truck to turn around in, you could start the open door duration so you'd have some line of sight to when it's there longer. | Ope"
increase camera coverage for monitoring and business case,1,1,MEDIUM,False,False,mixed,increase camera coverage for monitoring and business case,"Dylan Tatum: We don't have a closer camera right there, and that's what I was thinking about because, actually, the event's not even on camera. | Dylan Tatum: These cameras aggravate me sometimes with this motion detection because it only records whenever it detects motion. | Riley Winslow: making s"
pit safety monitoring no stops proximity seatbelts,1,1,MEDIUM,False,False,customer,pit safety monitoring no stops proximity seatbelts,"Jamie Valentine: And then the E is for equipment, because those are our least frequent but most severe injuries. | Jamie Valentine: Guarantee you can see that every day. | Jamie Valentine: Are you able to, you mentioned not wearing a seatbelt, right? Are you able to tell that as a flag?"
robot cell intrusion and safety interlock compliance monitoring,1,1,MEDIUM,False,False,customer,robot cell intrusion and safety interlock compliance monitoring,"Payton Granger: I install one camera to cover four robots so that anybody who goes near the robot when it's trying to do something can also, there's great videos of, you know, people getting killed as they approach a robot, which just swung around. | Payton Granger: having something that's kind of l"
racking structure impact detection and driver violation analysis,1,1,MEDIUM,False,False,mixed,racking structure impact detection and driver violation analysis,"Payton Granger: every upright in his warehouse is destroyed. so I'm to the point where I walk through and I'm like, you need to shut down this entire aisle, like you can't put product in this aisle because all of it is so damaged | Indigo Vaughn: You can do no PEDSA, no speeding, stopping, like, so "
retail shop safety monitoring tire inflation lifts blocking falling tires,1,1,MEDIUM,False,False,customer,retail shop safety monitoring tire inflation lifts blocking falling tires,"Jamie Flynn: We haven't had a very good year in the retail side of things at the stores. | Jamie Flynn: There's been several pretty serious injuries. | Jamie Flynn: We had a 20-year-old girl, blew a tire up while she was standing over it, threw her back about eight feet, cut her up across the front,"
heatmaps to locate ergonomic hotspots and adjust workflow,1,1,MEDIUM,False,False,mixed,heatmaps to locate ergonomic hotspots and adjust workflow,"Shawn Abbott: we have heat maps now embedded here. | Shawn Abbott: So this is sort of the, this is the hotspot right here. | Kendall Bennett: That's something we can look at as far as maybe they're loading too many in there. | Briar Langley: Yeah, it looks like it's going to be to overreach to set t"
uld handling pinch point risk detection,1,1,MEDIUM,False,False,customer,uld handling pinch point risk detection,"Alden Carver: ULD handling as far as, you know, pitch points and stuff like that is not something typically we can pick up with a camera."
working at heights incident coaching via actions,1,1,MEDIUM,False,False,customer,working at heights incident coaching via actions,"Taylor Carlisle: I think it was like the Working in Heights or whatever. | Taylor Carlisle: It's like I come to the party late to everything, it seems like, you know, like the thing with the, you know, above heights and things like that."
ai detection of leading safety risks from existing cameras,1,1,MEDIUM,False,False,mixed,ai detection of leading safety risks from existing cameras,"Lane Oakley: So what our whole purpose of the solution is to help help you keep your folks safe. | Lane Oakley: and then we apply our AI models to detect leading indicators of safety risk. | Lane Oakley: So we're looking for unsafe conditions, risky behaviors, and we're isolating that data, those vi"
streamlined safety workflows for leaders assign track share,1,1,MEDIUM,False,False,mixed,streamlined safety workflows for leaders assign track share,"Winter Noble: not making it too cumbersome for the leaders, because if it's a ton of work for them to enter data or track data, it just becomes a task. | Hollis Sawyer: You can collaborate. You can assign incidents to people. You can get a workflow fully enabled here... share that video clip with so"
prioritize actionable ergonomic alerts and reduce noise,1,1,MEDIUM,False,False,mixed,prioritize actionable ergonomic alerts and reduce noise,"Robin Oakley: So I'll get like, well, it's roughly probably 150 videos a day, right? | Robin Oakley: And say if 80 of them are ergo, probably one or two or something that I can do something about, right? | Robin Oakley: There may be other things I can do something about, but there's other limitation"
usage analytics to monitor and pinpoint adoption,1,1,MEDIUM,False,False,customer,usage analytics to monitor and pinpoint adoption,"Brooks Sutton: I really love the new page, the first page where I'm able to get all the data and the accurate of everybody who's been on. | Brooks Sutton: Being used and, you know, through the program, giving me all that data has been really helpful to really pinpoint with these managers."
facial recognition to identify individuals in footage,1,1,MEDIUM,False,False,customer,facial recognition to identify individuals in footage,"Unknown: are you now able to actually put a name onto, like, someone that we know, okay, if this, like, they could, AI can actually, like, know who that person is? Like facial ID? | Unknown: No, that's not part of our plans currently. | Unknown: we do have other kind of camera reviews for like mista"
near miss and property damage data for ap claims investigations,1,1,MEDIUM,False,False,customer,near miss and property damage data for ap claims investigations,"Jamie Valentine: Whether it's near miss or property damage, claims a lot of things that our AP partners are currently asking for. The near miss is the biggest one. We just, we only know what's been reported, right? And we don't have visibility to that. | Jamie Valentine: We have instant reviews afte"
prevent theft tampering of mobile camera units,1,1,MEDIUM,False,False,customer,prevent theft tampering of mobile camera units,"Lennon Sawyer: maybe think about maybe how they can help us with mobile units with but as how to secure it from... | Lane Donovan: Theft, because there are some people come and collect it. | Lane Donovan: this should be decided by our top management also, about the security of these cameras, how we "
housekeeping and material fall risk detection,1,1,MEDIUM,False,False,mixed,housekeeping and material fall risk detection,"Drew Emery: Like, would you guys be looking for, you know, things out of orders in pedestrian aisleways, things like that? | Skyler Gardner: So I would say housekeeping for sure, | Skyler Gardner: But the product, have it standing up. | Skyler Gardner: And so it's vertical. | Skyler Gardner: And so "
supervisor training and adoption support,1,1,MEDIUM,False,False,mixed,supervisor training and adoption support,"Kendall Keller: And directly train them. | Kendall Keller: So that they know exactly how to use Voxel, because I think something that typically customers see as a deterrent at first is they go in, they don't know what to look for, and they think, oh my God, the volume of events is so high. | Brooks "
maintenance window suppression no incident capture during scheduled work,1,1,MEDIUM,False,False,mixed,maintenance window suppression no incident capture during scheduled work,"Dylan Tatum: So their normal maintenance day is on Sundays. | Dylan Tatum: So we need to add that in to the, no incident capturing Sundays from. | Eden Quill: 6A to 6P. | Eden Quill: All right. I'll get that added in there."
charger parking duration telemetry,1,1,MEDIUM,False,False,mixed,charger parking duration telemetry,"Shawn Abbott: You still have the existing vehicle use cases over there, mean, anything around parking duration to see if they're, how long they're on the charger? | Ryan Archer: No, it's like, you know, they just arrive and they just jump on the lift and unplug and they go, you know."
no pedestrian zone monitoring e g conveyors rollers,1,1,MEDIUM,False,False,mixed,no pedestrian zone monitoring e g conveyors rollers,"Jamie Flynn: So when you get this set up, for instance, if we went with this type of deal, would we have to flag, like, the no pedestrian zones and, you know what I mean? | Dakota Kendrick: So in this case, they don't want anyone on the conveyor or the roller here, but it happens all the time becaus"
after hours dock door open alert lights off,1,1,MEDIUM,False,False,mixed,after hours dock door open alert lights off,"Eden Wilder: we want to fire an automatic alert if all lights go out in a building and a dock door is still open | Dakota Kendrick: So we can do open doors today. But we can add a separate rule that if the lights are turned off, for example, we can flag that."
cellphone distraction while walking,1,1,MEDIUM,False,False,mixed,cellphone distraction while walking,"Shawn Abbott: Employees looking at their phone and walking. | Ryan Archer: That would be the biggest thing. | Shawn Abbott: It's an area, a use case we're looking into."
forklift speed monitoring via camera based distance measurement,1,1,MEDIUM,False,False,mixed,forklift speed monitoring via camera based distance measurement,"Peyton Rowe: I know I was supposed to get distances so that we could track speed on some of those cameras, some of our equipment. | Shawn Abbott: So we had sent over, someone on my team sent over a deck with some of the areas we suspected would be good for speeding. | Peyton Rowe: It's asking which "
forklift and pedestrian intersection safety pit to person pit to pit no stops no ped zones,1,1,MEDIUM,False,False,mixed,forklift and pedestrian intersection safety pit to person pit to pit no stops no ped zones,"Kendall Keller: pit to pit, pit to person | Kendall Keller: In addition to that, no PED zone, obstructions, no stop at end of vial. | Keegan York: no stops are rising at a 20-30% trend at loading base seed. | Devon Sterling: I think that would be beneficial, especially like in forklift-type scenario"
powered industrial truck hazard detection,1,1,MEDIUM,False,False,mixed,powered industrial truck hazard detection,"Dakota Kendrick: What we're trying to figure out from our end is, and you've talked about pretty high level earlier, but the success metrics for a pilot, you called out a few like use cases around power industrial trucks, working at heights, things of that nature. | Alden Carver: And then there's ev"
incident alerting email sms,1,1,MEDIUM,False,False,mixed,incident alerting email sms,"Indigo Vaughn: So in real time, we're getting it down to under a minute, which is really great. | Indigo Vaughn: And you'll get those notifications via email and also within the system and then soon to be SMS. | Wyatt Quincy: Oh, that means whatever incident happened, like for example, if someone fa"
daily summary incident emails for safety review,1,1,MEDIUM,False,False,customer,daily summary incident emails for safety review,"Nico Blaine: I stopped getting Voxel notifications on August 21st. | Nico Blaine: Usually, I get a daily report. | Nico Blaine: Support showing incidents and findings. | Nico Blaine: I usually take a look at the Wednesday and Thursdays to see if anyone forgot to put their hat on or their vest, but I"
slip and fall prevention via spill detection and timely notifications,1,1,MEDIUM,False,False,mixed,slip and fall prevention via spill detection and timely notifications,"Sidney Sinclair: Oh man, what keeps me up at night is our slips and falls. | Sidney Sinclair: I want to say a large share of our incident costs and claims come from slips and falls. | Indigo Vaughn: So liquid spills, it will pull into, and this is going right into the platform, and it will notify yo"
no pedestrian zones in docks aisles,1,1,MEDIUM,False,False,customer,no pedestrian zones in docks aisles,Ryan Archer: So we don't want any foot traffic from the docks. | Ryan Archer: And there'll be a no-ped zone as well.
conveyor jam no obstruction detection and root cause review,1,1,MEDIUM,False,False,mixed,conveyor jam no obstruction detection and root cause review,"Indigo Vaughn: No obstruction zones, no blocking, like fire exits. You can do that on conveyor belts. | Indigo Vaughn: Whatever the duration you want to track, and then when it violates it for like 15, 30 seconds, you get flagged. | Payton Granger: once we have a jam eye, we have this trigger event "
powered equipment and vehicle safety monitoring in hdcs,1,1,MEDIUM,False,False,mixed,powered equipment and vehicle safety monitoring in hdcs,"Eden Wilder: And probably prioritize the ones that do have powered equipment, which is about half of them at this time. | Dakota Kendrick: from a safety perspective, as you know, like ergonomics, vehicle safety, PPE, area controls"
speeding analytics and compliance reporting,1,1,MEDIUM,False,False,mixed,speeding analytics and compliance reporting,"Evan Rivers: On the speeding, I'm kind of focusing on the speeding right now, to get an average speeding, I mean, an average speed captured by the system? | Evan Rivers: But at the same time, if I had the average for the day, then of just, not obviously, of just the speeding incidents, if I see that"
forklift safety monitoring no stops stacking collision prevention,1,1,MEDIUM,False,False,mixed,forklift safety monitoring no stops stacking collision prevention,"Lee Dempsey: I think it's all forklift activities. | Lee Dempsey: So they're loading these trucks with forklifts and just stacking pallets on either a flatbed or a big box truck. | Skyler Whitman: we had a no-stop at an intersection, and because of that no-stop, um- Bang. | Skyler Whitman: And then "
housekeeping hazard monitoring exits walkways debris,1,1,MEDIUM,False,False,mixed,housekeeping hazard monitoring exits walkways debris,"Gray Merritt: I think some of the common things that we would want to have this help is, just like you said, right, clutter, especially on emergency exits. | Frankie Valentine: Another thing that I said that I would see is probably overflowing of bins, dumping their trash or plastic, and then that c"
use actions workflow to manage corrective actions and track impact,1,1,MEDIUM,False,False,mixed,use actions workflow to manage corrective actions and track impact,"Kendall Keller: Now, since we spoke last, that has been rolled out fully to all of our customers. | Nell Alden: I have not been able to assign as many actions because I've been like, okay, what's the high risk today? | Kendall Keller: once you guys actually complete an action, the good part about th"
forklift pit safety proximity and collision monitoring to prevent struck by incidents,1,1,MEDIUM,False,False,mixed,forklift pit safety proximity and collision monitoring to prevent struck by incidents,"Indigo Vaughn: Then like forklifts. I don't know if you guys use forklift. That's another thing like pit to pit or pit to pet. Like how close are they coming into each other? The machinery, how close are they getting close to your workers? | Sidney Sinclair: the forklift incidents, when we do have t"
cross functional it vetting and stakeholder alignment for adoption,1,1,MEDIUM,False,False,mixed,cross functional it vetting and stakeholder alignment for adoption,"Riley Winslow: for them to potentially utilize Voxel, they had to make sure that, you know, their IT team was involved and what kind of questions their IT team asked and what does that process look like? | Cleo Corbett: as you guys are thinking about bringing in new solutions, who is in that room in"
